,article_name,country,revision_id,article_quality,population
0,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,Stub,
1,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,Start,
2,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,Start,
3,Hossam Arafat (politician),Palestinian Territory,680933208.0,Stub,
4,Tawfik Tirawi,Palestinian Territory,701106976.0,Start,
5,Isam al-Qadi,Palestinian Territory,706650943.0,Stub,
6,Hussein al-Araj,Palestinian Territory,707669406.0,Stub,
7,Mohammad Barghouti,Palestinian Territory,708269321.0,Stub,
8,Ahmed Khalidi,Palestinian Territory,708495719.0,Stub,
9,Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,Stub,
10,Qais Abd al-Karim,Palestinian Territory,709529097.0,Stub,
11,Mahmoud Aloul,Palestinian Territory,709567584.0,Stub,
12,Victor Batarseh,Palestinian Territory,709994434.0,Stub,
13,Hanna Nasser (academic),Palestinian Territory,710133339.0,Start,
14,Anastas Hanania,Palestinian Territory,710390049.0,Start,
15,Joudeh George Murqos,Palestinian Territory,710676772.0,Stub,
16,Ali al-Sartawi,Palestinian Territory,710990363.0,Stub,
17,Jamal Tirawi,Palestinian Territory,712310215.0,Start,
18,Samir Abu Eisheh,Palestinian Territory,713203735.0,Stub,
19,Sami Taha,Palestinian Territory,713505054.0,Start,
20,Ayyub Musallam,Palestinian Territory,714176771.0,Stub,
21,Hajj Essa Hamed,Palestinian Territory,714181175.0,Stub,
22,Hasan Tahboub,Palestinian Territory,714208891.0,Stub,
23,Hanna Nasser,Palestinian Territory,714586856.0,Stub,
24,Ghazi Hanania,Palestinian Territory,715125381.0,Stub,
25,Amin Abd al-Hadi,Palestinian Territory,716425885.0,Stub,
26,Samir Hulileh,Palestinian Territory,717174805.0,Start,
27,Hatem Qafisha,Palestinian Territory,717350346.0,Stub,
28,Nayef Rajoub,Palestinian Territory,717907429.0,Stub,
29,Ghassan Shakaa,Palestinian Territory,720225559.0,Stub,
30,Salim Zanoun,Palestinian Territory,720541817.0,Stub,
31,Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476.0,Stub,
32,Umm Nidal,Palestinian Territory,729635985.0,C,
33,Aref al-Dajani,Palestinian Territory,730565205.0,Start,
34,Faed Mustafa,Palestinian Territory,730612889.0,Stub,
35,Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909.0,C,
36,Samiha Khalil,Palestinian Territory,737316891.0,Start,
37,Imil Jarjoui,Palestinian Territory,738485209.0,Stub,
38,Abu Zakaria al-Jamal,Palestinian Territory,740251014.0,Stub,
39,Mustafa al-Khalidi,Palestinian Territory,740562507.0,Stub,
40,Samir Ghawshah,Palestinian Territory,741240899.0,Start,
41,Fuad Kokaly,Palestinian Territory,742810698.0,Stub,
42,Janet Mikhail,Palestinian Territory,742930612.0,Stub,
43,Hind Khoury,Palestinian Territory,744229617.0,Stub,
44,Saloum Cohen,Palestinian Territory,744680083.0,Stub,
45,Ahmed Majdalani,Palestinian Territory,745445418.0,Start,
46,Faidi al-Alami,Palestinian Territory,746561126.0,Stub,
47,Arafat scarf,Palestinian Territory,752269980.0,Stub,
48,Zuhir al-Qaisi,Palestinian Territory,754951299.0,C,
49,Mohammed Shabir,Palestinian Territory,754960024.0,Start,
50,Said Seyam,Palestinian Territory,755358806.0,C,
51,Atef Adwan,Palestinian Territory,756834998.0,Start,
52,Moussa Arafat,Palestinian Territory,756836183.0,Start,
53,Khouloud Daibes,Palestinian Territory,757565638.0,Stub,
54,Nahid al-Rayyis,Palestinian Territory,759387598.0,Start,
55,Rawhi Fattouh,Palestinian Territory,760357919.0,Start,
56,Wasfi Kabha,Palestinian Territory,760375386.0,Stub,
