,article_name,country,revision_id,article_quality,population
0,Bir I of Kanem,Chad,355319463,Stub,15.4
1,Abdullah II of Kanem,Chad,498683267,Stub,15.4
2,Salmama II of Kanem,Chad,565745353,Stub,15.4
3,Kuri I of Kanem,Chad,565745365,Stub,15.4
4,Mohammed I of Kanem,Chad,565745375,Stub,15.4
5,Kuri II of Kanem,Chad,669719757,Stub,15.4
6,Bir II of Kanem,Chad,670893206,Stub,15.4
7,Mahamat Hissene,Chad,693055898,Stub,15.4
8,Othman I,Chad,705432607,Stub,15.4
9,Alphonse Kotiga,Chad,707593108,Stub,15.4
10,Oueddei Kichidemi,Chad,708346649,Start,15.4
11,Dunama I,Chad,710675092,Stub,15.4
12,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,15.4
13,Djibrine Kerallah,Chad,712971263,Stub,15.4
14,Maurice Ngangtar,Chad,712971315,Stub,15.4
15,Idriss Miskine,Chad,712971738,Stub,15.4
16,Laoukein Kourayo Médard,Chad,716886170,Stub,15.4
17,Nadji Madou,Chad,716886788,Stub,15.4
18,Noël Milarew Odingar,Chad,716891799,Start,15.4
19,Yaya Dillo Djérou,Chad,717733209,Stub,15.4
20,Acheikh Ibn-Oumar,Chad,719821590,Start,15.4
21,Quatre Sou Quatre,Chad,720066754,Stub,15.4
22,Ali Gazi,Chad,722563340,Stub,15.4
23,Mahamat Djarma Khatir,Chad,725132042,Stub,15.4
24,Dunama IX Lefiami,Chad,731749611,Stub,15.4
25,Dawud of Kanem,Chad,736550266,Stub,15.4
26,Ahmed Koulamallah,Chad,738855197,Start,15.4
27,Abbo Nassour,Chad,741369486,C,15.4
28,Abdel Kader Baba-Laddé,Chad,742213176,Stub,15.4
29,Hummay,Chad,747271475,Stub,15.4
30,Ngarlejy Yorongar,Chad,751304544,C,15.4
31,Saleh Kezabo,Chad,751380073,Stub,15.4
32,Bourkou Louise Kabo,Chad,757072468,Start,15.4
33,Brahim Koulamallah,Chad,757802238,Stub,15.4
34,Saadie Goukouni Weddeye,Chad,757842614,Start,15.4
35,Mahamoud Adam Béchir,Chad,762579466,Start,15.4
36,Kalthouma Nguembang,Chad,762816132,Stub,15.4
37,Djidingar Dono Ngardoum,Chad,764133533,Stub,15.4
38,Youssouf Saleh Abbas,Chad,771052289,B,15.4
39,Koibla Djimasta,Chad,774223245,Start,15.4
40,Nassour Guelendouksia Ouaido,Chad,774223248,C,15.4
41,Joseph Brahim Seid,Chad,777478442,Stub,15.4
42,Joseph Yodoyman,Chad,777550078,Start,15.4
43,Antoine Bangui,Chad,782638002,Start,15.4
44,Ibrahim IV of Bornu,Chad,785614014,Stub,15.4
45,Hadjé Halimé,Chad,786449636,C,15.4
46,Youssouf Togoïmi,Chad,787390241,Start,15.4
47,Adoum Younousmi,Chad,787719236,Start,15.4
48,François Tombalbaye,Chad,787738541,C,15.4
49,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,15.4
50,Ahmad Allam-Mi,Chad,787921293,Start,15.4
51,Laotegguelnodji Koumtog,Chad,788009613,Stub,15.4
52,Mahamat Ali Adoum,Chad,788014671,Start,15.4
53,Mahamat Saleh Annadif,Chad,788658822,Start,15.4
54,Mohamed Bechir-Sow,Chad,788827248,Stub,15.4
55,Gontchomé Sahoulba,Chad,788828388,Start,15.4
56,Gabriel Lisette,Chad,788828519,Start,15.4
57,Ali II of Bornu,Chad,788999424,Stub,15.4
58,Arabi El Goni,Chad,789126126,Stub,15.4
59,Dunama Dabbalemi,Chad,789935196,Start,15.4
60,Idris Alooma,Chad,792734868,Start,15.4
61,Mahamat Nouri,Chad,792954115,FA,15.4
62,Idriss Ndele Moussa,Chad,796654025,Start,15.4
63,Mbaydoum Simeon,Chad,796690873,Stub,15.4
64,Ngarindo Milengar,Chad,796700718,Stub,15.4
65,List of Prime Ministers of Chad,Chad,797747674,Start,15.4
66,Idriss Déby,Chad,798286150,C,15.4
67,Saleh Kebzabo,Chad,798626040,C,15.4
68,Moussa Faki,Chad,799043301,C,15.4
69,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,15.4
70,Haroun Kabadi,Chad,799447895,Start,15.4
71,Nagoum Yamassoum,Chad,799447995,Start,15.4
72,Outel Bono,Chad,799448338,Start,15.4
73,Ahmat Acyl,Chad,799902492,C,15.4
74,Djimrangar Dadnadji,Chad,800133552,Start,15.4
75,Delwa Kassiré Koumakoye,Chad,801029539,C,15.4
76,Fidèle Moungar,Chad,801192255,C,15.4
77,Jean Alingué Bawoyeu,Chad,801192303,B,15.4
78,Emmanuel Nadingar,Chad,801573576,C,15.4
79,Roger Djikisna,Chad,801583221,Stub,15.4
80,Firmin Djidingar,Chad,801583260,Stub,15.4
81,Idris I of Kanem,Chad,802874918,Stub,15.4
82,Vice President of Chad,Chad,803166509,Stub,15.4
83,Hissène Habré,Chad,803166806,GA,15.4
84,Negue Djogo,Chad,803166989,Start,15.4
85,Wadel Abdelkader Kamougué,Chad,803167152,C,15.4
86,Félix Malloum,Chad,803167336,Start,15.4
87,Lol Mahamat Choua,Chad,803167424,C,15.4
88,Goukouni Oueddei,Chad,803167990,C,15.4
89,Albert Pahimi Padacké,Chad,803433107,C,15.4
90,List of heads of state of Chad,Chad,803812011,Start,15.4
91,Elise Loum,Chad,804773540,Start,15.4
92,Agnes Allafi,Chad,805493169,Start,15.4
93,Christine Georges Diguibaye,Chad,806337653,Stub,15.4
94,Pascal Yoadimnadji,Chad,806508985,Start,15.4
95,Aissa Koli,Chad,806616268,Start,15.4
96,Omar I of Kanem,Chad,807425129,Start,15.4
97,Yos Por,Cambodia,393822005,Stub,16
98,Than Sina,Cambodia,671073599,Stub,16
99,Ieu Pannakar,Cambodia,712085445,Stub,16
100,Taing Sunlay,Cambodia,713507166,Stub,16
101,Dul Koeun,Cambodia,714524609,Stub,16
102,Ly Kim Leang,Cambodia,714524624,Stub,16
103,Chhor Leang Huot,Cambodia,714524714,Stub,16
104,Thak Lany,Cambodia,714524870,Stub,16
105,Sok San,Cambodia,714525029,Stub,16
106,Tep Ngorn,Cambodia,714528164,Stub,16
107,Chan Cheng,Cambodia,714528251,Stub,16
108,Nhim Vanda,Cambodia,714528803,Stub,16
109,Pen Panha,Cambodia,714528886,Stub,16
110,Sieng Nam,Cambodia,714529109,Stub,16
111,So Khun,Cambodia,714529370,Stub,16
112,Nou Sam,Cambodia,714529507,Stub,16
113,Rath Sarem,Cambodia,716812326,Stub,16
114,Kong Vibol,Cambodia,726543264,Stub,16
115,Monh Saphan,Cambodia,726543284,Stub,16
116,Uk Rabun,Cambodia,726543336,Stub,16
117,Ay Khorn,Cambodia,726543872,Stub,16
118,Oung Ouen,Cambodia,726688556,Stub,16
119,List of Deputy Prime Ministers of Cambodia,Cambodia,730617957,Stub,16
120,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,Stub,16
121,Chuop Hell,Cambodia,735512767,Stub,16
122,Kong Korm,Cambodia,736093077,Stub,16
123,Chan Nak,Cambodia,736538934,Stub,16
124,Huy Kanthoul,Cambodia,736539294,Stub,16
125,Vorn Vet,Cambodia,736715950,Stub,16
126,Yat Hwaidi,Cambodia,737025619,Stub,16
127,Khim Tit,Cambodia,737804996,Stub,16
128,Son Chhay,Cambodia,738180794,Start,16
129,Kep Chuktema,Cambodia,738478052,Start,16
130,Nuth Rumduol,Cambodia,738512371,Stub,16
131,Khieu Thavika,Cambodia,738804016,Stub,16
132,Norodom Phurissara,Cambodia,738987957,Start,16
133,Daran Kravanh,Cambodia,738989624,Stub,16
134,Sisowath Monireth,Cambodia,738992094,Start,16
135,Sisowath Youtevong,Cambodia,738992441,Start,16
136,Ou Chanrith,Cambodia,739217591,Stub,16
137,Yem Ponhearith,Cambodia,741680078,Stub,16
138,Chrea Sochenda,Cambodia,741923960,Stub,16
139,Vong Kan,Cambodia,742006559,Stub,16
140,Yos Son,Cambodia,742067282,Stub,16
141,Hun Many,Cambodia,744291790,Stub,16
142,Chhean Vam,Cambodia,747052284,Stub,16
143,Oum Chheang Sun,Cambodia,747052769,Stub,16
144,Norodom Kantol,Cambodia,747053219,Stub,16
145,Khieu Rada,Cambodia,747555899,Start,16
146,Ieu Koeus,Cambodia,747628491,Stub,16
147,Cheng Heng,Cambodia,747784875,Start,16
148,Mok Mareth,Cambodia,747945224,Start,16
149,Kieng Vang,Cambodia,748137241,Stub,16
150,Sisowath Watchayavong,Cambodia,748488170,Stub,16
151,Sokhom So,Cambodia,749156496,Stub,16
152,Min Sean,Cambodia,749304614,Stub,16
153,Y Chhean,Cambodia,749338398,Stub,16
154,Poa Bun Sreu,Cambodia,749357713,Stub,16
155,Toan Vanthara,Cambodia,749387326,Stub,16
156,Sok Soty,Cambodia,749388858,Stub,16
157,Pal Sam Oeun,Cambodia,749396845,Stub,16
158,Ngor Sovann,Cambodia,749470256,Stub,16
159,Kea Sahorn,Cambodia,749510551,Stub,16
160,Suos Kanan,Cambodia,749517390,Stub,16
161,Im Chhun Lim,Cambodia,749537624,Stub,16
162,Tram Iv Teuk,Cambodia,749537772,Stub,16
163,Hem Khorn,Cambodia,749561164,Stub,16
164,Um Nhanh,Cambodia,749569686,Stub,16
165,Poa Try,Cambodia,749570183,Stub,16
166,Yim Chhaily,Cambodia,749683882,Stub,16
167,Ith Prang,Cambodia,749704384,Stub,16
168,Try Chheang Huot,Cambodia,749710492,Stub,16
169,Suk Sam Eng,Cambodia,749945690,Stub,16
170,Nim Thot,Cambodia,749967879,Stub,16
171,Ngin Khorn,Cambodia,749970189,Stub,16
172,Sorn Inthor,Cambodia,749977252,Stub,16
173,You Hockry,Cambodia,750055098,Stub,16
174,Samrith Pech,Cambodia,750074445,Stub,16
175,Un Neung,Cambodia,750077042,Stub,16
176,Bou Thang,Cambodia,750179637,Stub,16
177,Peter Khoy Saukam,Cambodia,751227068,Start,16
178,Tuot Saron,Cambodia,752967379,Start,16
179,Phoeurng Sackona,Cambodia,752979708,Stub,16
180,Nhek Bun Chhay,Cambodia,753086260,Stub,16
181,Cheam Yeab,Cambodia,753684881,Stub,16
182,Chea Poch,Cambodia,753689952,Stub,16
183,Chin Bun Sean,Cambodia,753692176,Stub,16
184,Chhim Siek Leng,Cambodia,753695057,Stub,16
185,Chea Soth,Cambodia,753711610,Stub,16
186,Ke Pauk,Cambodia,754318281,Stub,16
187,Kong Sam Ol,Cambodia,754944744,Stub,16
188,Pho Proeung,Cambodia,755504987,Stub,16
189,San Yun,Cambodia,756129985,Stub,16
190,Tiv Ol,Cambodia,756722795,Start,16
191,Son Ngoc Thanh,Cambodia,758665997,C,16
192,Monovithya Kem,Cambodia,759510662,Stub,16
193,Mom Chim Huy,Cambodia,761412104,Stub,16
194,Norodom Norindeth,Cambodia,761941416,Start,16
195,Hem Heng,Cambodia,763098565,Start,16
196,Chum Bunrong,Cambodia,763098588,Stub,16
197,Duong Vanna,Cambodia,763316692,Stub,16
198,Chhay Tan,Cambodia,763968613,Stub,16
199,Keat Chhon,Cambodia,765244120,Stub,16
200,Ang Vong Vathana,Cambodia,765375452,Stub,16
201,Keo Remy,Cambodia,766576352,Stub,16
202,Sun Chanthol,Cambodia,766834612,Start,16
203,Khieu Kanharith,Cambodia,766836319,Stub,16
204,Chay Saing Yun,Cambodia,767217618,Stub,16
205,Ek Sam Ol,Cambodia,767218020,Stub,16
206,Ouk Rabun,Cambodia,767867369,Stub,16
207,Hun Phoeung,Cambodia,768488633,Stub,16
208,Nguon Nhel,Cambodia,769381746,Stub,16
209,Khuon Sodary,Cambodia,769381831,Stub,16
210,Sok Pheng,Cambodia,769447485,Stub,16
211,Say Chhum,Cambodia,769929584,Stub,16
212,Im Sothy,Cambodia,771408501,Stub,16
213,Eng Chhai Eang,Cambodia,773103096,Stub,16
214,Heng Pov,Cambodia,773157273,Start,16
